backend,filename,knowledge_base,upload_time,file_size,file_id,topics,language,sentiment,chunk_count
PostgreSQL,statement_202311.pdf,Financial Transactions,,0,,Tunnel Fees,Chinese,neutral,4
PostgreSQL,TAX_FORM_PIS000000396-001-HK_1061537_20242025.pdf,Tax Return,,0,,"Employment Details, Personal Information, Income Sources, Supplementary Data on Salaries and Bonuses",English,neutral,3
PostgreSQL,td51_e-fillable_eng.pdf,国际驾驶许可,,0,,"国际驾驶许可申请, 申请流程, 所需材料",中文,neutral,36
PostgreSQL,td558_(2_2021)_e-fillable_eng.pdf,香港车辆登记,,0,,"车辆登记签名要求, 地址证明, 变更地址通知",中文,neutral,52
PostgreSQL,td558_e-fillable_eng.pdf,Legal Requirements,,0,,"Verification of E-contact Means, Transfer of Ownership of a Vehicle (Except Taxi), Signature and Chop on Vehicle Registration Document (VRD), Requirement of Address Proof, Change of Address or E-contact Means, Mail Items with Insufficient Postage",formal_and_official,neutral_with_slight_negative_connotation,60
PostgreSQL,testdisk.pdf,Software Documentation,,0,,"Partition recovery, Filesystem repair, File recovery, PhotoRec, QPhotoRec, Installation, Building from source, Live USB, Storage considerations, Starting the tools",English,neutral,92
PostgreSQL,test.pdf,Language Learning,,0,,The quick brown fox jumps over the lazy dog,English,neutral,1
PostgreSQL,THANKS.txt,Software/Technology,,0,,"TestDisk & PhotoRec, Contributions to the Project",English,positive,1
PostgreSQL,TNF100_HK2015_PRESSRELEASE.docx,endurance challenges,,0,,"Asia's most grueling endurance challenge, Nanjing Face® 100 Hong Kong, World's toughest trail running race, Hilliest and most challenging trail running in Asia, Asian series event, 100 km course with 6,300m elevation gain, 50 km course with 3,075m elevation gain, Over 1,000 runners from Asia and beyond, Top contenders from the 2015 TNF100 Asia Pac Series, Challenging training program for 30 participants, Charity support for local causes",Chinese,positive,10
PostgreSQL,translantau_2017_classement_TL100_scratch.pdf,Marathon Results,,0,,"Sports, Race Results, Participant Categories",en,positive,170
PostgreSQL,translantau_2017_classement_TL50_scratch.pdf,Sports,,0,,Sports Results,English,neutral,184
PostgreSQL,translantau_2018_classement_TL100_scratch.pdf,Sports,,0,,"Rankings, Bib Numbers, Names of Participants, Clubs/Teams, Categories, Countries",English,neutral,149
PostgreSQL,TZ6327交强险保单.pdf,insurance,,0,,"insurance single, vehicle information, coverage details, general terms",zh_cn,neutral,6
PostgreSQL,TZ6327商业险保单.pdf,保险/金融,,0,,"保险单, 车辆信息, 保险金额, 投保人信息",zh_cn,neutral,15
PostgreSQL,USERTrustRSAAddTrustCA.txt,certificate,,0,,"digital certificate, public key infrastructure (PKI), X.509",en,neutral,4
PostgreSQL,version.txt,General,,0,,General,English,neutral,1
PostgreSQL,VERSION.txt,Software Development,,0,,Unknown,en,neutral,1
PostgreSQL,vocab.txt,Unknown,,0,,Unknown,Unknown,Unknown,213
PostgreSQL,vocab.txt,nlp,,0,,"data_preprocessing, tokenization, model_training",english,neutral,213
PostgreSQL,WixLicenseNote.txt,Legal,,0,,"Microsoft Reciprocal License (Ms-RL), WiX Toolset 3.10 software, Chipset Device Software",en,neutral,2
PostgreSQL,城市售票網 - 確認紀錄 father .pdf,演出/票务,,0,,"演出名称, 场地, 日期",中文,中性,7
PostgreSQL,城市售票網 - 確認紀錄.pdf,娱乐/票务,,0,,"演出名称, 场地, 日期, 购票方式",zh_cn,neutral,7
PostgreSQL,【安卓+PC】天马3.5 正式版安装教程 20220704.pdf,游戏与软件,,0,,"游戏ROM简介, 游戏主题简介, PC安装教程",zh_cn,neutral,166
PostgreSQL,授权委托公证书 (更新最終草稿) (10.10.2019).docx,法律,,0,,"授权委托公证书, 房产所有权, 代理权限, 税务处理, 房产登记",zh_cn,neutral,5
PostgreSQL,机动车交通事故责任强制保险条1.pdf,机动车交通事故责任强制保险,,0,,"交强险条款, 保险责任, 垫付与追偿, 保险期间, 投保义务, 赔偿处理, 合同变更与终止",zh_cn,neutral,18
PostgreSQL,机动车商业保险免责事项说明1.pdf,财产保险,,0,,"机动车商业保险, 免责事项说明书, 保险条款",zh_cn,neutral,50
PostgreSQL,机动车商业保险示范条款（2020 版1.pdf,财产保险,,0,,"机动车损失保险, 第三者责任保险, 车上人员责任保险",zh_cn,neutral,72
